p,q,force,dev
0.183443600195,0.0236197615009,0.203348921191,0.000109478925166
0.183847055804,0.0235319397356,0.310648622811,0.000167101483773
0.184090784386,0.0235649101372,0.528660192704,0.000284237418875
0.184193183901,0.023259487704,0.0680755869745,3.65843675319e-05
0.184193183901,0.023259487704,0.0680755869745,3.65843675319e-05
0.184430455343,0.0233072743381,0.312765503029,0.000168004459318
0.184691979974,0.0233673796563,0.599919737591,0.000322088137705
0.184813835193,0.0230585877791,0.157941011862,8.47502763715e-05
0.185241224026,0.0228805265442,0.169942172261,9.10877025329e-05
0.185241224026,0.0228805265442,0.169942172261,9.10877025329e-05
0.185487002605,0.0228699236212,0.342572048908,0.00018351316505
0.185695807577,0.0227616196782,0.326046145217,0.000174558906628
