x,y,z,fx,fy,fz,time,dist
0.167459029197,0.0150436259501,-0.0557151616024,0.0,0.0,0.0,1.834,0
0.167432590267,0.0154896598112,-0.0556765849209,0.0,0.0,0.0,1.85,0
0.167405021392,0.0159354986744,-0.0556378486184,0.0,0.0,0.0,1.867,0
0.167376170008,0.0163821846846,-0.0555991116561,0.0,0.0,0.0,1.884,0
0.167345986229,0.0168303555399,-0.0555603101668,0.0,0.0,0.0,1.9,0
0.167314625192,0.0172782649814,-0.0555214810477,0.0,0.0,0.0,1.917,0
0.167314625192,0.0172782649814,-0.0555214810477,0.0,0.0,0.0,1.935,0
0.167282093096,0.0177259286069,-0.0554826044728,0.0,0.0,0.0,1.951,0
0.167248422271,0.0181733808149,-0.0554435707143,0.0,0.0,0.0,1.967,0
0.167213571692,0.0186205544824,-0.0554045340663,0.0,0.0,0.0,1.984,0
0.167177553635,0.0190674570376,-0.0553654586224,0.0,0.0,0.0,2.0,0
0.167140368839,0.0195140735862,-0.0553263520354,0.0,0.0,0.0,2.017,0
0.167140368839,0.0195140735862,-0.0553263520354,0.0,0.0,0.0,2.034,0
0.167102021445,0.0199604048428,-0.0552872057197,0.0,0.0,0.0,2.05,0
0.167062540855,0.0204065051009,-0.0552479104306,0.0,0.0,0.0,2.067,0
0.1670218945,0.0208522929534,-0.0552086025762,0.0,0.0,0.0,2.084,0
0.16698009115,0.0212977714821,-0.0551692593084,0.0,0.0,0.0,2.1,0
0.166937132211,0.0217429304521,-0.0551298855046,0.0,0.0,0.0,2.117,0
0.166937132211,0.0217429304521,-0.0551298855046,0.0,0.0,0.0,2.134,0
0.16689302201,0.0221877684953,-0.0550904732504,0.0,0.0,0.0,2.152,0
0.166847788801,0.0226323611999,-0.055050905338,0.0,0.0,0.0,2.168,0
0.166801399394,0.0230766094036,-0.0550113329292,0.0,0.0,0.0,2.185,0
0.166753865468,0.023520510667,-0.0549717255502,0.249116188409,-0.655043767582,0.133309247365,2.201,0.000399648336485
0.166796674555,0.023519345726,-0.0548489023915,0.224394638899,-0.593088917991,0.11767592693,2.217,0.000361320978203
0.166796674555,0.023519345726,-0.0548489023915,0.224394638899,-0.593088917991,0.11767592693,2.234,0.000361320978203
0.166899862431,0.0233823285812,-0.0545999427268,0.095846694935,-0.255061285255,0.048246336076,2.25,0.000155027345951
