x,y,z,fx,fy,fz,time
0.169146856389,0.00675483937662,-0.0453938491829,[ 0.],[ 0.],[ 0.],1.025
0.169154815669,0.00681059549821,-0.0453595465252,[ 0.],[ 0.],[ 0.],1.045
0.16916270415,0.00686635153255,-0.045325412192,[ 0.],[ 0.],[ 0.],1.064
0.169170619436,0.00692193965821,-0.0452911076818,[ 0.],[ 0.],[ 0.],1.085
0.169178457128,0.00697769550093,-0.0452569717309,[ 0.],[ 0.],[ 0.],1.107
0.169186321668,0.00703328342529,-0.0452226656066,[ 0.],[ 0.],[ 0.],1.126
0.169193169244,0.0070886612247,-0.045188387481,[ 0.],[ 0.],[ 0.],1.145
0.169200983136,0.00714424859531,-0.0451540799813,[ 0.],[ 0.],[ 0.],1.165
0.169208823981,0.00719966803697,-0.0451196022927,[ 0.],[ 0.],[ 0.],1.186
0.169216601674,0.00725491954773,-0.0450852928281,[ 0.],[ 0.],[ 0.],1.204
0.169224399276,0.00731017093061,-0.0450508133835,[ 0.],[ 0.],[ 0.],1.226
0.16923217167,0.0073654221796,-0.0450163331802,[ 0.],[ 0.],[ 0.],1.247
0.169239918854,0.00742067328872,-0.0449818522309,[ 0.],[ 0.],[ 0.],1.266
0.169247648302,0.00747575645142,-0.0449473703204,[ 0.],[ 0.],[ 0.],1.286
0.169255390036,0.00753100726429,-0.0449127186581,[ 0.],[ 0.],[ 0.],1.306
0.169263076779,0.00758592232413,-0.0448782350668,[ 0.],[ 0.],[ 0.],1.325
0.16927077574,0.00764100502226,-0.0448435817332,[ 0.],[ 0.],[ 0.],1.345
0.169277458764,0.0076958739421,-0.0448089586889,[ 0.],[ 0.],[ 0.],1.366
0.169285122959,0.00775062039056,-0.0447743036706,[ 0.],[ 0.],[ 0.],1.386
0.169292799145,0.00780553445716,-0.0447394789134,[ 0.],[ 0.],[ 0.],1.405
0.169300413356,0.00786028055344,-0.0447048225165,[ 0.],[ 0.],[ 0.],1.425
0.169308055199,0.00791485867822,-0.0446699958891,[ 0.],[ 0.],[ 0.],1.445
0.16931566417,0.00796960440212,-0.044635168841,[ 0.],[ 0.],[ 0.],1.465
0.169323256143,0.00802418214607,-0.0446003408735,[ 0.],[ 0.],[ 0.],1.486
0.169330823209,0.00807875969172,-0.0445655122528,[ 0.],[ 0.],[ 0.],1.505
0.169338373495,0.00813316925232,-0.0445306827238,[ 0.],[ 0.],[ 0.],1.525
0.169345943479,0.00818757860637,-0.0444956832137,[ 0.],[ 0.],[ 0.],1.545
0.169352445893,0.00824193868286,-0.0444608857049,[ 0.],[ 0.],[ 0.],1.566
0.16935997449,0.00829617950803,-0.0444258848669,[ 0.],[ 0.],[ 0.],1.585
0.169367478328,0.00835042011289,-0.0443908834089,[ 0.],[ 0.],[ 0.],1.605
0.169374957406,0.00840466049176,-0.0443558813432,[ 0.],[ 0.],[ 0.],1.626
0.169382456046,0.00845890063897,-0.0443207092997,[ 0.],[ 0.],[ 0.],1.645
0.169389894079,0.0085129727807,-0.0442857057557,[ 0.],[ 0.],[ 0.],1.667
0.169400580803,0.00859388719765,-0.0442329622745,[ 0.],[ 0.],[ 0.],1.687
0.169404793241,0.00862094857544,-0.0442153578374,[ 0.],[ 0.],[ 0.],1.706
0.169412210157,0.00867485222079,-0.0441801828628,[ 0.],[ 0.],[ 0.],1.726
0.16941960246,0.00872875561341,-0.0441450073253,[ 0.],[ 0.],[ 0.],1.746
0.169426025031,0.00878243870833,-0.0441096968524,[ 0.],[ 0.],[ 0.],1.765
0.169433412228,0.00883634126008,-0.0440743509883,[ 0.],[ 0.],[ 0.],1.785
0.169440748471,0.00888990803324,-0.0440391733875,[ 0.],[ 0.],[ 0.],1.806
0.169448095384,0.00894364229161,-0.0440038261319,[ 0.],[ 0.],[ 0.],1.826
0.169455470682,0.00899720852236,-0.0439683085713,[ 0.],[ 0.],[ 0.],1.845
0.169464042305,0.00897210672228,-0.0439327459507,[ 0.],[ 0.],[ 0.],1.865
0.169459914602,0.00855528277804,-0.0438979829242,[ 0.],[ 0.],[ 0.],1.886
0.169438653137,0.00779861231869,-0.0438646943815,[ 0.],[ 0.],[ 0.],1.904
0.16939751563,0.00673252410151,-0.0438328242485,[ 0.],[ 0.],[ 0.],1.926
0.169336061807,0.00543825543875,-0.0438022325298,[ 0.],[ 0.],[ 0.],1.945
0.169252297847,0.00398896560394,-0.0437730052772,[ 0.],[ 0.],[ 0.],1.965
0.169148491561,0.00243675573724,-0.0437449016937,[ 0.],[ 0.],[ 0.],1.986
0.169023622173,0.000819861118501,-0.0437178038811,[ 0.],[ 0.],[ 0.],2.006
0.16887984788,-0.000839668941295,-0.0436918085798,[ 0.],[ 0.],[ 0.],2.026
0.168716345068,-0.00251525007911,-0.0436666229511,[ 0.],[ 0.],[ 0.],2.046
0.168535765961,-0.00419763587663,-0.0436423231034,[ 0.],[ 0.],[ 0.],2.064
0.168337214132,-0.00587642707216,-0.0436189526714,[ 0.],[ 0.],[ 0.],2.085
0.168124187736,-0.007543576286,-0.0435960525267,[ 0.],[ 0.],[ 0.],2.105
0.167897122914,-0.00919402618798,-0.0435741130582,[ 0.],[ 0.],[ 0.],2.126
0.1676557846,-0.0108240155776,-0.0435528179673,[ 0.],[ 0.],[ 0.],2.146
0.167401921276,-0.0124307519929,-0.0435321063917,[ 0.],[ 0.],[ 0.],2.164
0.167136285933,-0.0140125818779,-0.0435119555265,[ 0.],[ 0.],[ 0.],2.185
0.166860682553,-0.0155674714467,-0.0434924654,[ 0.],[ 0.],[ 0.],2.205
0.166575851223,-0.0170954871439,-0.0434734463051,[ 0.],[ 0.],[ 0.],2.225
0.166281631062,-0.0185952768768,-0.0434549097925,[ 0.],[ 0.],[ 0.],2.245
0.165978767497,-0.0200662488617,-0.0434369952659,[ 0.],[ 0.],[ 0.],2.265
0.165670040185,-0.0215084137592,-0.0434194301973,[ 0.],[ 0.],[ 0.],2.285
0.165354260187,-0.0229209807465,-0.0434022661234,[ 0.00617164],[ 0.01466555],[-0.0038842],2.307
0.165038604493,-0.024280348895,-0.0433855405109,[ 0.01686789],[ 0.04111455],[-0.01030537],2.325
0.164780660629,-0.0253613046818,-0.04336754257,[ 0.0251915],[ 0.06251767],[-0.0150425],2.347
0.164678161617,-0.0258098194329,-0.0433440515781,[ 0.0285957],[ 0.07150372],[-0.01696484],2.366
0.164705636912,-0.025756532008,-0.0433093595925,[ 0.02817438],[ 0.07049239],[-0.01684581],2.385
